sample_id	subpopulation
14A0055_8_n	stiff stalk
14A0215_26_n	mixed
14A0123_8_n	non-stiff stalk
14A0411_26_n	non-stiff stalk
14A0373_26_n	non-stiff stalk
14A0397_26_n	non-stiff stalk
14A0431_26_n	non-stiff stalk
14A0461_26_n	non-stiff stalk
14A0137_26_n	stiff stalk
14A0341_26_n	non-stiff stalk
14A0187_8_n	non-stiff stalk
14A0093_26_n	non-stiff stalk
14A0265_8_n	tropical-subtropical
14A0291_8_n	non-stiff stalk
14A0297_8_n	stiff stalk
14A0359_26_n	tropical-subtropical
14A0437_26_n	tropical-subtropical
14A0417_26_n	tropical-subtropical
14A0405_26_n	tropical-subtropical
14A0429_26_n	tropical-subtropical
14A0209_26_n	stiff stalk
14A0201_8_n	stiff stalk
14A0167_26_n	stiff stalk
14A0327_26_n	tropical-subtropical
14A0363_26_n	tropical-subtropical
14A0227_8_n	stiff stalk
14A0211_26_n	stiff stalk
14A0231_8_n	stiff stalk
14A0465_26_n	tropical-subtropical
14A0441_26_n	tropical-subtropical
14A0479_26_n	non-stiff stalk
14A0445_8_n	tropical-subtropical
14A0223_26_n	non-stiff stalk
14A0335_26_n	non-stiff stalk
14A0361_26_n	tropical-subtropical
14A0399_26_n	tropical-subtropical
14A0389_26_n	tropical-subtropical
14A0421_26_n	tropical-subtropical
14A0353_26_n	tropical-subtropical
14A0337_26_n	tropical-subtropical
14A0295_8_n	tropical-subtropical
14A0269_26_n	mixed
14A0205_8_n	mixed
14A0161_8_n	mixed
14A0481_26_n	mixed
14A0261_8_n	stiff stalk
14A0011_8_n	mixed
14A0189_8_n	non-stiff stalk
14A0207_8_n	non-stiff stalk
14A0073_8_n	non-stiff stalk
14A0271_8_n	mixed
14A0371_26_n	non-stiff stalk
14A0087_26_n	non-stiff stalk
14A0057_8_n	sweet
14A0135_8_n	non-stiff stalk
14A0277_8_n	non-stiff stalk
14A0329_26_n	non-stiff stalk
14A0377_8_n	non-stiff stalk
14A0067_8_n	non-stiff stalk
14A0143_8_n	non-stiff stalk
14A0275_8_n	stiff stalk
14A0221_26_n	non-stiff stalk
14A0237_8_n	popcorn
14A0499_26_n	mixed
14A0407_26_n	mixed
14A0475_26_n	mixed
14A0141_8_n	mixed
14A0051_8_n	non-stiff stalk
14A0317_26_n	popcorn
14A0321_8_n	popcorn
14A0285_26_n	mixed
14A0349_26_n	non-stiff stalk
14A0255_8_n	non-stiff stalk
14A0443_26_n	mixed
14A0491_26_n	tropical-subtropical
14A0423_26_n	mixed
14A0477_26_n	tropical-subtropical
14A0419_26_n	mixed
14A0463_26_n	tropical-subtropical
14A0331_26_n	mixed
14A0119_8_n	non-stiff stalk
14A0395_8_n	non-stiff stalk
14A0257_8_n	non-stiff stalk
14A0247_8_n	non-stiff stalk
14A0109_8_n	non-stiff stalk
14A0159_8_n	non-stiff stalk
14A0105_8_n	non-stiff stalk
14A0391_26_n	non-stiff stalk
14A0191_8_n	non-stiff stalk
14A0197_8_n	mixed
14A0043_8_n	mixed
14A0069_8_n	non-stiff stalk
14A0017_8_n	non-stiff stalk
14A0240_26_n	non-stiff stalk
14A0240_8_n	non-stiff stalk
14A0181_8_n	non-stiff stalk
14A0121_8_n	non-stiff stalk
14A0129_8_n	non-stiff stalk
14A0127_8_n	unclassified
